village,District,Eastings,Nothings,Latitude,Longitude,ecoli,pH,Electrical Conductivity,turbidity,Color (Apparent),Total dissolved salts,Total Alkalinity ,Bicarbonates,Total hardness ,Calcium Hardardness ,magnesium hardness,Flouride,Chloride,sulphate,Nitrites ,Nitrates-N ,Ammonium-N ,Phosphates-P 
Namisambya,Kamuli,515772,100461,66.58256264,#NUM!,1,5.9,131,1.7,0.2432,91.7,16,19.52,30.4,21.2,9.2,0.1,7.1,6.7,0.001,6.12,0.27,0.02
Namisambya 2,Kamuli,515581,100613,66.4902701,#NUM!,1,5.8,557,1.8,0.2432,389.9,74,90.28,146.4,79.2,67.2,0.23,55,115,0.01,3.2,0.002,0.1
Bukwenge,Kamuli,513070,102171,65.50667098,#NUM!,1,6.2,434,1.8,0.2432,303.8,85,103.7,120.4,77.4,43,0.34,28,38,0.001,11,0.18,0.19
Bulyampanga,Kamuli,510133,98391,67.24794741,#NUM!,1,6,162,1.7,0.2432,113.4,53,64.66,42.4,23.2,19.2,0.27,9.2,5.6,0.01,2.57,0.08,0.3
Busobya zone,Kamuli,505754,92887,69.69243347,#NUM!,1,5.8,161,1.6,0.2432,112.7,52,63.44,33.8,20,13.8,0.32,4.5,2.2,0.01,5.99,0.05,0.1
Wampologoma,Kayunga,500569,87275,72.08748244,195.5198105,1,6.1,220,1.9,0.2432,154,100,122,79,68.8,10.2,0.22,1.2,7.8,0.01,1.43,0.04,0.08
Bugonda,Kayunga,499418,85045,73.01947614,110.4963434,1,6.8,785,1.8,0.2432,549.5,195,237.9,318.4,149,169.4,0.8,73,80,0.001,0.82,0.002,0.03
Bugonda,Kayunga,500922,83640,73.59318984,97.05861492,1,5.7,197,1.8,0.2432,137.9,34,41.48,44,21.4,22.6,0.07,1.7,5.8,0.001,16,0.11,0.03
Buganda,Kayunga,501106,83046,73.832751,92.84435691,1,5.8,756,1.6,0.2432,529.2,60,73.2,212.8,112.2,100.6,0.15,124,91,0.001,5.49,0.05,0.02
Namirembe,Kayunga,497400,88166,71.72277105,#NUM!,1,6,317,1.7,0.2432,221.9,99,120.78,110.4,53.2,57.2,0.42,35,1.6,0.001,2.35,0.06,0.05
Nongo,Kayunga,492655,89528,71.24817293,#NUM!,1,6,272,2.7,0.2432,190.4,110,134.2,101.6,69.8,31.8,0.24,9.8,2.3,0.02,4.13,0.15,0.1
Budada,Kayunga,487727,93339,69.77662352,#NUM!,1,5.8,566,1.8,1,396.2,600,732,158.6,102.4,56.2,0.31,100,34,0.001,6.49,0.05,0.17
Bulawula C,Kayunga,494850,92383,69.90628706,#NUM!,1,6.2,271,1.8,0.2432,189.7,130,158.6,132.2,61,71.2,0.44,1.6,2.6,0.001,2.09,0.09,0.13
Nkokonjeru,Kayunga,4942223,91440,#NUM!,-57.15717004,1,6,260,2.2,11,182,66,80.52,74.4,45.8,28.6,0.35,28,1.1,0.001,6.61,0.08,0.04
Kawuku,Kayunga,498574,85435,72.86269777,115.6382456,1,6.4,483,1.8,0.2432,338.1,95,115.9,150,89.8,60.2,0.38,44,16,0.001,20,0.01,0.24
Kyabakwerere,Kamwenge,212591.0742,10046752.05,#NUM!,87.86105216,9,6.9,76,1.24,0,53.2,0,0,0,0,0,0,1.39561,9.72927,0.00865,0.00102,0,0
Kihoima,Kamwenge,213852.3355,10046619.96,#NUM!,86.45862952,1,7.1,134.2,1.03,0,93.94,0,0,0,0,0,0,1.31526,15.7005,0.03777,0.00152,0,0
Kihoima,Kamwenge,214347.9953,10047051.86,#NUM!,83.51709284,108,7.38,116.5,0.99,0,81.55,0,0,0,0,0,0,0.96973,12.50203,0.02682,0.00201,0,0
Kengoma II,Kamwenge,223026.7796,10017502.47,#NUM!,#NUM!,1,7.53,266,104,0,186.2,0,0,0,0,0,0,8.7641,65.234,0.03084,0.00343,0,0
Burengye,Kamwenge,225109.3864,10019025.79,#NUM!,#NUM!,36,7.87,420,1.08,0,294,0,0,0,0,0,0,9.88801,61.22324,0.02367,0.00157,0,0
Burengye,Kamwenge,225548.7911,10019069.02,#NUM!,#NUM!,1,7.95,323,1.13,0,226.1,0,0,0,0,0,0,5.38449,31.45613,0.00663,0.00144,0,0
Nyamashegwa I,Kamwenge,225229.8096,10018060.18,#NUM!,#NUM!,1,7.65,157.4,0.97,0,110.18,0,0,0,0,0,0,1.45978,18.66576,0.01149,0.00331,0,0
Kengoma II,Kamwenge,226915.384,10017340.63,#NUM!,#NUM!,102,8.15,562,1.1,0,393.4,0,0,0,0,0,0,10.70044,103.4988,0.01239,0.0018,0,0
Kengoma II,Kamwenge,224562.0547,10018374.29,#NUM!,#NUM!,1,7.56,284,1.1,0,198.8,0,0,0,0,0,0,10.17997,58.16407,0.00917,0.00191,0,0
Kengoma II,Kamwenge,226008.0612,10017935.2,#NUM!,#NUM!,66,8.05,357,1.02,0,249.9,0,0,0,0,0,0,12.53693,31.7049,0.02297,0.00786,0,0
Kengoma II,Kamwenge,224772.1702,10018188.27,#NUM!,#NUM!,1,7.63,271,0.85,0,189.7,0,0,0,0,0,0,11.13073,66.62563,0.05155,0.00293,0,0
Nkoma,Kamwenge,237987.0935,10036378.77,#NUM!,90.58396676,0,5.98,328,26,0,229.6,0,0,0,0,0,0,9.01585,44.30161,0.01697,0.00057,2.00486,0.04564
Kinyonza,Kamwenge,239332.1297,10040967.38,#NUM!,68.86488271,3,6.36,380,1.5,0,266,0,0,0,0,0,0,15.21136,31.98672,0.10891,0.00182,2.40506,0.12568
Kikiri,Kamwenge,247577.0344,10047628.21,#NUM!,47.70854334,2,6.14,387,3.25,0,270.9,0,0,0,0,0,0,4.86134,31.37258,0.02866,0.00621,0.8676,0.16647
Rutooma,Kamwenge,247946.5386,10047522.94,#NUM!,47.56055573,4,5.94,216.5,4.1,0,151.55,0,0,0,0,0,0,2.03056,12.92991,0.02345,0.00327,3.49218,0.06243
Block 4,Lamwo,437542,370808,#NUM!,9.440284264,0,7.28,881,0.138,616.7,0,524,639.28,266.8,83.6,43.968,0.38,6.75,2.47,0,0.02,0,0
Block 4,Lamwo,437542,370808,#NUM!,9.440284264,0,7.29,956,0.23,669.2,0,468,570.96,270.8,70.4,48.096,0.31,5.31,2.33,0,0.02,0,0
Block 4,Lamwo,437086,371065,#NUM!,9.534262212,0,7.33,987,0.875,690.9,0,524,639.28,248.4,124.8,29.664,0.35,5.32,2.85,0,0.02,0,0
Block 4B,Lamwo,437086,371065,#NUM!,9.534262212,0,7.56,727,1.12,508.9,0,312,380.64,296.8,138.4,38.016,0.468,12.38,2.84,0,5.57,0,0
Block 4B,Lamwo,437086,371065,#NUM!,9.534262212,0,7.37,859,6.12,601.3,0,440,536.8,278.4,46.8,55.584,0.49,11.14,2.43,0,5.7,0,0
Block 12A Zone B,Lamwo,442869,377058,#NUM!,12.77615159,0,7.34,865,0.241,605.5,0,508,619.76,369.6,68,72.384,0.38,11.83,6.01,0,0.02,0,0
Block 12A Zone B,Lamwo,442869,377058,#NUM!,12.77615159,0,7.59,863,6.18,604.1,0,420,512.4,332.8,91.6,57.888,0.34,12.25,6.23,0,0.02,0,0
Block 12A Zone B,Lamwo,442869,377058,#NUM!,12.77615159,0,7.55,874,0.291,611.8,0,528,644.16,360,97.2,63.072,0.66,11.6,5.81,0,0.02,0,0
Block 12A Zone B,Lamwo,442869,377058,#NUM!,12.77615159,0,7.62,817,0.367,571.9,0,492,600.24,338.8,122,52.032,0.98,21.2,8.46,0,0.02,0,0
Block 12A Zone B,Lamwo,442869,377058,#NUM!,12.77615159,0,7.72,848,0.415,593.6,0,472,575.84,329.6,100,55.104,1.6,17.4,7.52,0,0.02,0,0
Nyalagala,Lamwo,455385,400317,#NUM!,27.86249595,0,7.05,472,0.184,330.4,0,260,317.2,249.2,102.4,35.232,1.8,0.81,8.14,0,0.02,0,0
